carrier_name,shipping_option_code,shipping_option_result,partner,service,last_update
Dropi Fretes,4747523,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4746263,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4746174,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4744540,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4736415,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3625405,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3614878,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3609553,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3608682,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Onlog Express,92,Onlog Express - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4525900,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4525598,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4524618,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4524117,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4523914,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4520771,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4911520,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
E-pick Chi,epick-option-1-chi,E-pick Chi - Outros,,Outros,2025-08-07 16:10:53
Dropsimples 2021,2,Dropsimples 2021 - Outros,,Outros,2025-08-07 16:10:53
Dropsimples 2021,1,Dropsimples 2021 - Outros,,Outros,2025-08-07 16:10:53
PinPoint,CORDOBA_PINDAY,PinPoint - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3597425,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3654327,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3654326,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3645842,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
